
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
   11   10   0.00001   0.00000         2
   11   11   0.00004   0.00002         2
   11   12   0.00001   0.00000         8
   12    1   0.00001   0.00001         3
   12    2   0.00001   0.00001         7
   12    3   0.00001   0.00001         3
   12    4   0.00000   0.00000         7
   12    5   0.00000   0.00000         6
   12    6   0.00000   0.00000         3
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         3
   12    9   0.00000   0.00000         3
   12   10   0.00000   0.00000         6
   12   11   0.00000   0.00000         6
   12   12   0.00000   0.00000         3


 Special analysis for state     5   1.22682
    c    v      wtot      wmax     ikmax
    1    1   0.01379   0.00629         5
    1    2   0.16667   0.07799         4
    1    3   0.10274   0.06324         3
    1    4   0.03879   0.01340         2
    1    5   0.00653   0.00242         4
    1    6   0.00145   0.00057         3
    1    7   0.00041   0.00026         8
    1    8   0.00030   0.00011         8
    1    9   0.00071   0.00019         6
    1   10   0.00024   0.00013         5
    1   11   0.00006   0.00003         2
    1   12   0.00028   0.00010         2
    2    1   0.06464   0.05996         5
    2    2   0.02716   0.00931         5
    2    3   0.01725   0.00611         3
    2    4   0.00396   0.00186         8
    2    5   0.00517   0.00270         8
    2    6   0.00287   0.00233         7
    2    7   0.00095   0.00067         7
    2    8   0.00107   0.00035         7
    2    9   0.00071   0.00031         7
    2   10   0.00049   0.00016         6
    2   11   0.00016   0.00014         2
    2   12   0.00008   0.00002         2
    3    1   0.34874   0.09827         6
    3    2   0.10537   0.04282         2
    3    3   0.00828   0.00555         4
    3    4   0.00064   0.00021         6
    3    5   0.00065   0.00028         6
    3    6   0.00013   0.00005         6
    3    7   0.00003   0.00001         3
    3    8   0.00013   0.00003         8
    3    9   0.00019   0.00006         5
    3   10   0.00031   0.00025         5
    3   11   0.00004   0.00001         6
    3   12   0.00002   0.00001         2
